video_uid,clip_frames,query,template,is_NA,predicted_start,predicted_end,gt_start,gt_end
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where did i put the fire gun ?,Place: Where did I put X?,True,0,0,857,870
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where was the drill machine ?,Objects: Where is object X?,True,0,0,2348,2400
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where did i put the screw driver?,Place: Where did I put X?,False,3085,5397,3094,3106
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",How many cables did I drop on the table?,Objects: How many X’s? (quantity question),False,3774,3774,4084,4116
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",How many screw driver were on the table ?,Objects: How many X’s? (quantity question),True,0,0,5753,5773
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where was the hack saw?,Objects: Where is object X?,True,0,0,7735,7842
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where was the scissors before i picked it?,Objects: Where is object X before / after event Y?,False,3120,3120,9319,9342
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where did i put the screw driver?,Place: Where did I put X?,False,3085,5397,11673,11683
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where was the blue bucket?,Objects: Where is object X?,True,0,0,12358,12411
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where did i put the black cable?,Place: Where did I put X?,False,3774,3774,13126,13147
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",What color is the lightener i picked from the table?,Objects: What X is Y?,False,539,843,268,278
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",In what location did i last see the lighter?,Objects: In what location did I see object X ?,False,1748,1805,1733,2172
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",How many wires did i pick from the floor?,Objects: How many X’s? (quantity question),False,3824,4087,3830,3869
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",Where is the blue bottle after i left the wires on the table?,Objects: Where is object X before / after event Y?,True,0,0,6247,6376
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",What item did i pick from the toolbox?,Objects: What X did I Y?,False,2438,3085,6322,6347
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",How many cables did i pick?,Objects: How many X’s? (quantity question),False,6335,6403,8799,8822
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",How many wires did i carry from the shelf?,Objects: How many X’s? (quantity question),False,8601,8601,12347,12617
72295d26-19f7-4c6a-874e-85ba8654861e,"[0, 14400]",In what location did i last see the blue bucket?,Objects: In what location did I see object X ?,True,0,0,14068,14401
407216c9-b0f1-4fe1-af09-9405a7657953,"[70200, 84600]",Query Text:What color t-shirt was the man wearing holding the air-blower machine?,Objects: What X is Y?,True,0,0,77415,77841
407216c9-b0f1-4fe1-af09-9405a7657953,"[40500, 54900]",Query Text:Did I leave the door open?,Objects: State of an object,True,0,0,48349,48641
407216c9-b0f1-4fe1-af09-9405a7657953,"[40500, 54900]",Query Text:Where is the metre tape before putting on the wood table saw?,Objects: Where is object X before / after event Y?,False,53891,54800,53899,54900
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:What colour is the jacket I touched at the cloth rail? ,Objects: What X is Y?,False,20549,20701,20217,20761
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:How many belts are on the display table? ,Objects: How many X’s? (quantity question),True,0,0,23139,23437
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:How many menu holders are on the display table? ,Objects: How many X’s? (quantity question),True,0,0,24364,25151
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:How many ties are on the display table? ,Objects: How many X’s? (quantity question),True,0,0,27846,28264
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:Who did I talk to in the boutique? ,People: Who did I talk to in location X?,False,20619,20881,29702,30009
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:What word was written on the poster on the wall? ,Objects: What X is Y?,True,0,0,30648,30806
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:Where did I put the pair of brown shoes?,Place: Where did I put X?,False,25251,25251,31497,31577
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",Query Text:In what location did I see the bottle? ,Objects: In what location did I see object X ?,True,0,0,31955,32048
ecc633d2-72b5-4bd0-a6a1-f1cedb21d757,"[18900, 33300]",What colour is the jacket I examined at the clothes rack? ,Objects: What X is Y?,False,20549,20701,20231,20766
